congress,delsouth,fips,geom_id,inc,king_dist,lewis_dist,name,turnout,vote_share,year
55,0,26,55026006,,6.0,6,michigan,50363.0,0.4660961,1896.0
55,0,26,55026007,,7.0,7,michigan,41028.0,0.4452325,1896.0
55,0,26,55026008,,8.0,8,michigan,41150.0,0.5101337,1896.0
55,0,26,55026009,,9.0,9,michigan,34661.0,0.4109229,1896.0
55,0,26,55026010,,10.0,10,michigan,37071.0,0.4730382000000001,1896.0
55,0,26,55026011,,11.0,11,michigan,43973.0,0.4458418,1896.0
55,0,26,55026012,,12.0,12,michigan,42091.0,0.29647670000000004,1896.0
55,0,39,55039001,,1.0,1,ohio,44559.0,0.3919747,1896.0
55,0,39,55039002,,2.0,2,ohio,50953.0,0.4097502000000001,1896.0
55,0,39,55039003,,3.0,3,ohio,54769.0,0.5009220999999999,1896.0
55,0,39,55039004,,4.0,4,ohio,42359.0,0.6064354999999999,1896.0
55,0,39,55039005,,5.0,5,ohio,42861.0,0.5688854999999999,1896.0
55,0,39,55039006,,6.0,6,ohio,46718.0,0.4571685,1896.0
55,0,39,55039007,,7.0,7,ohio,43916.0,0.4820794,1896.0
55,0,39,55039008,,8.0,8,ohio,48730.0,0.4621178,1896.0
55,0,39,55039009,,9.0,9,ohio,55301.0,0.4646932,1896.0
55,0,39,55039010,,10.0,10,ohio,42838.0,0.4208647,1896.0
55,0,39,55039011,,11.0,11,ohio,44183.0,0.4492678,1896.0
55,0,39,55039012,,12.0,12,ohio,47297.0,0.500518,1896.0
55,0,39,55039013,,13.0,13,ohio,52384.0,0.5512752,1896.0
55,0,39,55039014,,14.0,14,ohio,51424.0,0.4778703,1896.0
55,0,39,55039015,,15.0,15,ohio,42397.0,0.4678869000000001,1896.0
55,0,39,55039016,,16.0,16,ohio,40325.0,0.4621202999999999,1896.0
55,0,39,55039017,,17.0,17,ohio,47278.0,0.5522442,1896.0
55,0,39,55039018,,18.0,18,ohio,54584.0,0.453796,1896.0
55,0,39,55039019,,19.0,19,ohio,52415.0,0.3935133,1896.0
55,0,39,55039020,,20.0,20,ohio,45915.0,0.4657302,1896.0
55,0,39,55039021,,21.0,21,ohio,45552.0,0.4396075,1896.0
55,0,55,55055001,,1.0,1,wisconsin,42958.0,0.3427301,1896.0
55,0,55,55055002,,2.0,2,wisconsin,41491.0,0.4212962000000001,1896.0
55,0,55,55055003,,3.0,3,wisconsin,41859.0,0.3623593,1896.0
55,0,55,55055004,,4.0,4,wisconsin,47325.0,0.4528051,1896.0
55,0,55,55055005,,5.0,5,wisconsin,43105.0,0.3826006,1896.0
55,0,55,55055006,,6.0,6,wisconsin,45593.0,0.4155024000000001,1896.0
55,0,55,55055007,,7.0,7,wisconsin,35791.0,0.3274007,1896.0
55,0,55,55055008,,8.0,8,wisconsin,43316.0,0.3888863,1896.0
55,0,55,55055009,,9.0,9,wisconsin,48143.0,0.3677586,1896.0
55,0,55,55055010,,10.0,10,wisconsin,42972.0,0.3449455,1896.0
55,0,19,55019001,,1.0,1,iowa,21944.0,0.0,1896.0
55,0,19,55019002,,2.0,2,iowa,43084.0,0.4614706,1896.0
55,0,19,55019003,,3.0,3,iowa,48885.0,0.3933927,1896.0
55,0,19,55019004,,4.0,4,iowa,26659.0,0.0,1896.0
55,0,19,55019005,,5.0,5,iowa,26133.0,0.0,1896.0
55,0,19,55019006,,6.0,6,iowa,21970.0,0.0,1896.0
55,0,19,55019007,,7.0,7,iowa,25578.0,0.0,1896.0
55,0,19,55019008,,8.0,8,iowa,24783.0,0.0,1896.0
55,0,19,55019009,,9.0,9,iowa,24904.0,0.0,1896.0
55,0,19,55019010,,10.0,10,iowa,33523.0,0.0,1896.0
55,0,19,55019011,,11.0,11,iowa,29601.0,0.0,1896.0
55,0,20,55020001,,1.0,1,kansas,41628.0,0.468747,1896.0
55,0,20,55020002,,2.0,2,kansas,,,1896.0
55,0,20,55020003,,3.0,3,kansas,,,1896.0
55,0,20,55020004,,4.0,4,kansas,52523.0,0.4929079000000001,1896.0
55,0,20,55020005,,5.0,5,kansas,,,1896.0
55,0,20,55020006,,6.0,6,kansas,,,1896.0
55,0,20,55020007,,7.0,7,kansas,,,1896.0
55,0,20,55020000,,98.0,0,kansas,,,1896.0
55,0,27,55027001,,1.0,1,minnesota,27920.0,0.0,1896.0
55,0,27,55027002,,2.0,2,minnesota,29481.0,0.0,1896.0
55,0,27,55027003,,3.0,3,minnesota,24483.0,0.0,1896.0
55,0,27,55027004,,4.0,4,minnesota,24854.0,0.0,1896.0
55,0,27,55027005,,5.0,5,minnesota,24508.0,0.0,1896.0
55,0,27,55027006,,6.0,6,minnesota,30317.0,0.0,1896.0
55,0,27,55027007,,7.0,7,minnesota,26003.0,0.0,1896.0
55,0,29,55029001,,1.0,1,missouri,43364.0,0.5544690999999999,1896.0
55,0,29,55029002,,2.0,2,missouri,45229.0,0.5718013000000001,1896.0
55,0,29,55029003,,3.0,3,missouri,42586.0,0.5624384,1896.0
55,0,29,55029004,,4.0,4,missouri,39195.0,0.5488455,1896.0
55,0,29,55029005,,5.0,5,missouri,47272.0,0.5492892,1896.0
55,0,29,55029006,,6.0,6,missouri,39246.0,0.5739184,1896.0
55,0,29,55029007,,7.0,7,missouri,49618.0,0.5612076,1896.0
55,0,29,55029008,,8.0,8,missouri,44359.0,0.5546789000000001,1896.0
55,0,29,55029009,,9.0,9,missouri,37445.0,0.5333154999999999,1896.0
55,0,29,55029010,,10.0,10,missouri,34573.0,0.2620542,1896.0
55,0,29,55029011,,11.0,11,missouri,28341.0,0.0,1896.0
55,0,29,55029012,,12.0,12,missouri,39051.0,0.4498732,1896.0
55,0,29,55029013,,13.0,13,missouri,41372.0,0.5392536,1896.0
55,0,29,55029014,,14.0,14,missouri,45748.0,0.5484173999999999,1896.0
55,0,29,55029015,,15.0,15,missouri,41165.0,0.5867849,1896.0
55,0,31,55031001,,1.0,1,nebraska,34493.0,0.4968254,1896.0
55,0,31,55031002,,2.0,2,nebraska,28147.0,0.4720219,1896.0
55,0,31,55031003,,3.0,3,nebraska,,,1896.0
55,0,31,55031004,,4.0,4,nebraska,,,1896.0
55,0,31,55031005,,5.0,5,nebraska,,,1896.0
55,0,31,55031006,,6.0,6,nebraska,,,1896.0
55,0,38,55038000,,98.0,0,north dakota,25233.0,0.0,1896.0
55,0,46,55046000,,97.0,0,south dakota,,,1896.0
55,0,46,55046000,,98.0,0,south dakota,,,1896.0
55,1,51,55051001,,1.0,1,virginia,26277.0,0.5908209,1896.0
55,1,51,55051002,,2.0,2,virginia,29179.0,0.5411083000000001,1896.0
55,1,51,55051003,,3.0,3,virginia,29350.0,0.5667462,1896.0
55,1,51,55051004,,4.0,4,virginia,23167.0,0.5565675,1896.0
55,1,51,55051005,,5.0,5,virginia,28115.0,0.509799,1896.0
55,1,51,55051006,,6.0,6,virginia,17187.0,1.0,1896.0
55,1,51,55051007,,7.0,7,virginia,30697.0,0.5683617,1896.0
55,1,51,55051008,,8.0,8,virginia,30144.0,0.5649549,1896.0
55,1,51,55051009,,9.0,9,virginia,37968.0,0.4726085,1896.0
55,1,51,55051010,,10.0,10,virginia,32142.0,0.4992533,1896.0
55,1,1,55001001,,1.0,1,alabama,16171.0,0.7352668000000001,1896.0
55,1,1,55001002,,2.0,2,alabama,11703.0,1.0,1896.0
55,1,1,55001003,,3.0,3,alabama,11671.0,1.0,1896.0
55,1,1,55001004,,4.0,4,alabama,17657.0,0.5840177,1896.0
55,1,1,55001005,,5.0,5,alabama,22329.0,0.6084911999999999,1896.0
55,1,1,55001006,,6.0,6,alabama,10148.0,1.0,1896.0
55,1,1,55001007,,7.0,7,alabama,,,1896.0
55,1,1,55001008,,8.0,8,alabama,27270.0,0.5735239999999999,1896.0
55,1,1,55001009,,9.0,9,alabama,13499.0,1.0,1896.0
55,1,5,55005001,,1.0,1,arkansas,26597.0,0.7677182,1896.0
55,1,5,55005002,,2.0,2,arkansas,25582.0,0.7465795999999999,1896.0
55,1,5,55005003,,3.0,3,arkansas,27594.0,0.7001884,1896.0
55,1,5,55005004,,4.0,4,arkansas,22847.0,0.7061321,1896.0
55,1,5,55005005,,5.0,5,arkansas,26653.0,0.6590628000000001,1896.0
55,1,5,55005006,,6.0,6,arkansas,22116.0,0.7734671999999999,1896.0
55,1,12,55012001,,1.0,1,florida,17619.0,0.8412509,1896.0
55,1,12,55012002,,2.0,2,florida,21008.0,0.6842630999999999,1896.0
55,1,13,55013001,,1.0,1,georgia,12158.0,0.6631847,1896.0
55,1,13,55013002,,2.0,2,georgia,10884.0,0.6527012,1896.0
55,1,13,55013003,,3.0,3,georgia,7459.0,1.0,1896.0
55,1,13,55013004,,4.0,4,georgia,12823.0,0.6643531,1896.0
55,1,13,55013005,,5.0,5,georgia,15973.0,0.5796031,1896.0
55,1,13,55013006,,6.0,6,georgia,8236.0,1.0,1896.0
55,1,13,55013007,,7.0,7,georgia,15806.0,0.6781602,1896.0
55,1,13,55013008,,8.0,8,georgia,11789.0,0.7708881,1896.0
55,1,13,55013009,,9.0,9,georgia,16458.0,0.6706161,1896.0
55,1,13,55013010,,10.0,10,georgia,10119.0,1.0,1896.0
55,1,13,55013011,,11.0,11,georgia,9141.0,1.0,1896.0
55,1,22,55022001,,1.0,1,louisiana,10776.0,1.0,1896.0
55,1,22,55022002,,2.0,2,louisiana,11613.0,0.8842675999999999,1896.0
55,1,22,55022003,,3.0,3,louisiana,9323.0,1.0,1896.0
55,1,22,55022004,,4.0,4,louisiana,10775.0,1.0,1896.0
55,1,22,55022005,,5.0,5,louisiana,11494.0,1.0,1896.0
55,1,22,55022006,,6.0,6,louisiana,11872.0,1.0,1896.0
55,1,28,55028001,,1.0,1,mississippi,7221.0,1.0,1896.0
55,1,28,55028002,,2.0,2,mississippi,7633.0,0.909341,1896.0
55,1,28,55028003,,3.0,3,mississippi,3438.0,0.8926702,1896.0
55,1,28,55028004,,4.0,4,mississippi,8343.0,1.0,1896.0
55,1,28,55028005,,5.0,5,mississippi,10475.0,1.0,1896.0
55,1,28,55028006,,6.0,6,mississippi,7773.0,0.8642738000000001,1896.0
55,1,28,55028007,,7.0,7,mississippi,7327.0,1.0,1896.0
55,1,37,55037001,,1.0,1,north carolina,,,1896.0
55,1,37,55037002,,2.0,2,north carolina,34710.0,0.4430424,1896.0
55,1,37,55037003,,3.0,3,north carolina,,,1896.0
55,1,37,55037004,,4.0,4,north carolina,,,1896.0
55,1,37,55037005,,5.0,5,north carolina,37721.0,0.5058720999999999,1896.0
55,1,37,55037006,,6.0,6,north carolina,,,1896.0
55,1,37,55037007,,7.0,7,north carolina,,,1896.0
55,1,37,55037008,,8.0,8,north carolina,37426.0,0.4811361,1896.0
55,1,37,55037009,,9.0,9,north carolina,39684.0,0.483545,1896.0
55,1,45,55045001,,1.0,1,south carolina,4648.0,1.0,1896.0
55,1,45,55045002,,2.0,2,south carolina,8634.0,0.9264536,1896.0
55,1,45,55045003,,3.0,3,south carolina,9746.0,1.0,1896.0
55,1,45,55045004,,4.0,4,south carolina,11230.0,1.0,1896.0
55,1,45,55045005,,5.0,5,south carolina,9349.0,0.9103647,1896.0
55,1,45,55045006,,6.0,6,south carolina,9731.0,1.0,1896.0
55,1,45,55045007,,7.0,7,south carolina,8065.0,1.0,1896.0
55,1,48,55048001,,1.0,1,texas,19161.0,1.0,1896.0
55,1,48,55048002,,2.0,2,texas,31346.0,0.8025904,1896.0
